PLATFORM,WELL ORI,WELL,POTENTIAL (bbl/d),OPNS DATE,DOWNTIME,DESCRIPTION,CPL CODE,TYPE CODE,CAT CODE,PRIM CODE,SEC CODE,START DATE,END DATE,,,
Dulang,DULG-D015-LS,W-D-15L,509.96,1-Aug-19,24,SSV actuator leak,I,U,W,B,X,1-Aug-19,1-Aug-19,W-D-15L,W-C-25,W-A-01
Dulang,DULG-D015-LS,W-D-15L,509.96,2-Aug-19,24,SSV actuator leak,I,U,W,B,X,2-Aug-19,2-Aug-19,W-B-01S,W-C-04S01L,W-A-04S
Dulang,DULG-B001-SS,W-B-01S,397.6,19-Feb-19,1,Well underperforming- to discount some uptime to reflect,I,U,W,C,P,19-Feb-19,19-Feb-19,W-B-04S,W-C-03S01,W-A-05
Dulang,DULG-B001-SS,W-B-01S,397.6,20-Feb-19,1,Well underperforming- to discount some uptime to reflect,I,U,W,C,P,20-Feb-19,20-Feb-19,W-C-04S,W-A-28S01,W-A-06
Dulang,DULG-B004-SS,W-B-04S,238.37,15-Feb-19,0.25,Well underperforming- to discount some uptime to reflect,I,U,W,C,P,15-Feb-19,15-Feb-19,W-C-07L,W-A-01W01,W-A-07
Dulang,DULG-D015-LS,W-D-15L,509.96,3-Aug-19,24,SSV actuator leak,I,U,W,B,X,3-Aug-19,3-Aug-19,W-C-18S,W-C-25W01S,W-A-08S
Dulang,DULG-D015-LS,W-D-15L,509.96,4-Aug-19,24,SSV actuator leak,I,U,W,B,X,4-Aug-19,4-Aug-19,W-C-27L,W-C-22S02,W-A-10S
Dulang,DULG-D015-LS,W-D-15L,509.96,5-Aug-19,24,SSV actuator leak,I,U,W,B,X,5-Aug-19,5-Aug-19,W-C-01S,W-D-02S01,W-A-11S
Dulang,DULG-D015-LS,W-D-15L,509.96,6-Aug-19,24,SSV actuator leak,I,U,W,B,X,6-Aug-19,6-Aug-19,W-D-06L,W-A-10S02S,W-A-12S
Dulang,DULG-D015-LS,W-D-15L,509.96,7-Aug-19,24,SSV actuator leak,I,U,W,B,X,7-Aug-19,7-Aug-19,W-D-06S,W-A-12S01,W-A-15L
