WELL,DESCRIPTION,Date
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-01
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-02
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-04
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-05
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-06
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-07
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-08
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-09
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-10
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-11
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-12
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-13
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-15
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-16
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-17
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-18
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-19
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-20
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-21
