PCP,Well,Date,Time,THP,THT,Status,PLATFORM,StatusUPD
702.6250093,B051S,1/1/2019,0,-110.2000349,-24.56017513,1,Samarang,1
698.9757143,B051S,1/2/2019,0,-110.1979904,-24.56054751,1,Samarang,1
700.8534569,B051S,1/3/2019,0,-110.1860311,-24.55842428,1,Samarang,1
697.3531815,B051S,1/4/2019,0,-110.1876175,-24.55782776,1,Samarang,1
698.1206207,B051S,1/5/2019,0,-110.1867499,-24.5585771,1,Samarang,1
704.0022519,B051S,1/6/2019,0,-110.1876537,-24.55795204,1,Samarang,1
718.3251727,B051S,1/7/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/8/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/9/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/10/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/11/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/12/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/13/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/14/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/15/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/16/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/17/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/18/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/19/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/20/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/21/2019,0,-110.1848971,-24.55842775,1,Samarang,1
718.3251727,B051S,1/22/2019,0,-110.1848971,-24.55842775,1,Samarang,1
697.0495262,B051S,1/23/2019,0,-110.2058232,-24.56188983,1,Samarang,1
696.6065184,B051S,1/24/2019,0,-110.197437,-24.56042358,1,Samarang,1
695.2840251,B051S,1/25/2019,0,-110.189669,-24.55892702,1,Samarang,1
695.2159651,B051S,1/26/2019,0,-110.199144,-24.56054523,1,Samarang,1
704.8029579,B051S,1/27/2019,0,-110.2109404,-24.5636668,1,Samarang,1
704.8029579,B051S,1/28/2019,0,-110.2109404,-24.5636668,1,Samarang,1
704.8029579,B051S,1/29/2019,0,-110.2109404,-24.5636668,1,Samarang,1
704.8029579,B051S,1/30/2019,0,-110.2109404,-24.5636668,1,Samarang,1
697.5117861,B051S,1/31/2019,0,-110.1999435,-24.56008804,1,Samarang,1
689.4187918,B051S,2/1/2019,0,-110.1973206,-24.56063173,1,Samarang,1
688.7593452,B051S,2/2/2019,0,-110.1938832,-24.56020881,1,Samarang,1
687.3101436,B051S,2/3/2019,0,-110.1967719,-24.56009701,1,Samarang,1
695.7007877,B051S,2/4/2019,0,-110.1970441,-24.56065897,1,Samarang,1
693.1445311,B051S,2/5/2019,0,-110.1972113,-24.55976942,1,Samarang,1
853.9473847,B051S,2/6/2019,0,-110.1957776,-24.56096997,1,Samarang,1
843.9038924,B051S,2/7/2019,0,-110.1981801,-24.56035178,1,Samarang,1
839.8018286,B051S,2/8/2019,0,-110.1966166,-24.56049343,1,Samarang,1
699.6060801,B051S,2/9/2019,0,-110.19567,-24.5601585,1,Samarang,1
692.7298172,B051S,2/10/2019,0,-110.1960716,-24.56017595,1,Samarang,1
686.4313365,B051S,2/11/2019,0,-110.1952481,-24.56022954,1,Samarang,1
639.4293998,B051S,2/12/2019,0,-110.1966969,-24.56027698,1,Samarang,1
706.537429,B051S,2/13/2019,0,-110.1956619,-24.56072457,1,Samarang,1
710.9038838,B051S,2/14/2019,0,-110.1972855,-24.56016795,1,Samarang,1
712.1605545,B051S,2/15/2019,0,-110.1989776,-24.56075731,1,Samarang,1
714.0108618,B051S,2/16/2019,0,-110.1952371,-24.55993422,1,Samarang,1
712.7466959,B051S,2/17/2019,0,-110.1968445,-24.56006211,1,Samarang,1
