Well,Date,Platform,StatusUPD
W-C-25L,2019-08-04,Dulang,0
W-C-25L,2019-08-04,Dulang,0
W-C-25L,2019-02-15,Dulang,0
W-C-25L,2019-09-08,Dulang,0
W-C-25L,2020-03-31,Dulang,0
W-C-25L,2020-03-31,Dulang,0
W-C-25L,2020-05-16,Dulang,0
W-C-25L,2020-05-26,Dulang,0
W-C-25L,2020-05-26,Dulang,0
W-C-25L,2020-06-03,Dulang,0
W-C-25L,2022-02-17,Dulang,0
W-C-25L,2022-07-26,Dulang,0
W-C-25L,2022-07-27,Dulang,0
W-C-25L,2022-08-02,Dulang,0
W-C-25L,2022-08-03,Dulang,0
W-C-25L,2022-08-04,Dulang,0
W-C-25L,2022-08-05,Dulang,0
W-C-25L,2022-08-07,Dulang,0
W-C-25L,2022-08-09,Dulang,0
W-C-25L,2022-08-10,Dulang,0
W-C-25L,2022-08-11,Dulang,0
W-C-25L,2022-08-12,Dulang,0
W-C-25L,2022-08-13,Dulang,0
W-C-25L,2022-11-02,Dulang,0
W-C-25L,2022-11-04,Dulang,0
W-C-25L,2022-11-07,Dulang,0
W-C-25L,2022-11-11,Dulang,0
W-C-25L,2022-11-12,Dulang,0
W-C-25L,2022-11-13,Dulang,0
W-C-25L,2022-11-14,Dulang,0
W-C-25L,2022-11-15,Dulang,0
W-C-25L,2022-11-16,Dulang,0
W-C-25L,2022-11-17,Dulang,0
W-C-25L,2022-11-18,Dulang,0
W-C-25L,2022-11-19,Dulang,0
W-C-25L,2022-11-20,Dulang,0
W-C-25L,2022-11-21,Dulang,0
W-C-25L,2022-11-22,Dulang,0
W-C-25L,2022-11-23,Dulang,0
W-C-25L,2022-11-24,Dulang,0
W-C-25L,2022-11-25,Dulang,0
W-C-25L,2022-11-26,Dulang,0
W-C-25L,2022-11-27,Dulang,0
W-C-25L,2022-11-28,Dulang,0
W-C-25L,2022-11-29,Dulang,0
W-C-25L,2022-11-30,Dulang,0
W-C-25L,2022-11-07,Dulang,0
W-C-25L,2022-11-23,Dulang,0
W-C-25L,2022-12-22,Dulang,0
W-C-25L,2022-12-24,Dulang,0
W-C-25L,2022-12-25,Dulang,0
W-C-25L,2022-12-26,Dulang,0
W-C-25L,2022-07-26,Dulang,0
W-C-25L,2022-07-27,Dulang,0
W-C-25L,2022-08-02,Dulang,0
W-C-25L,2022-08-03,Dulang,0
W-C-25L,2022-08-04,Dulang,0
W-C-25L,2022-08-05,Dulang,0
W-C-25L,2022-08-07,Dulang,0
W-C-25L,2022-08-09,Dulang,0
W-C-25L,2022-08-10,Dulang,0
W-C-25L,2022-08-11,Dulang,0
W-C-25L,2022-08-12,Dulang,0
